0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
17 12 8 31 24 22 36 43 15 0 33 6 27 40 4 2 25 9 50 45 19 49 34 3 14 51 55 1 37 18 59 23 46 44 5 7 11 57 26 52 42 54 13 35 10 20 56 30 41 53 29 16 58 21 48 38 32 28 39 47
22 8 12 24 31 17 43 36 33 6 15 0 40 27 4 19 9 25 45 50 2 34 49 3 37 55 51 18 14 1 44 46 23 59 7 5 26 57 11 35 54 42 10 52 13 30 56 20 29 58 41 21 53 16 47 39 28 32 38 48
8 15 17 2 0 9 4 1 12 24 14 27 6 11 36 31 23 22 5 3 34 20 19 45 33 7 10 43 35 44 16 25 29 18 50 51 40 13 42 38 26 28 57 37 55 49 21 53 47 30 46 59 32 56 39 52 58 54 48 41
8 24 17 22 12 31 6 33 0 15 43 36 4 40 27 9 50 2 25 19 45 49 3 34 1 18 37 14 55 51 46 5 59 7 23 44 11 26 57 54 13 52 42 10 35 20 30 56 58 21 16 29 41 53 39 28 47 38 48 32
15 14 9 34 27 23 36 44 17 2 35 11 24 42 1 0 29 8 51 45 20 53 31 5 12 50 57 4 38 16 56 22 47 43 3 10 6 55 28 48 40 58 13 33 7 19 59 32 39 49 25 18 54 21 52 37 30 26 41 46
23 9 14 27 34 15 44 36 35 11 17 2 42 24 1 20 8 29 45 51 0 31 53 5 38 57 50 16 12 4 43 47 22 56 10 3 28 55 6 33 58 40 7 48 13 32 59 19 25 54 39 21 49 18 46 41 26 30 37 52
9 17 15 0 2 8 1 4 14 27 12 24 11 6 36 34 22 23 3 5 31 19 20 45 35 10 7 44 33 43 18 29 25 16 51 50 42 13 40 37 28 26 55 38 57 53 21 49 46 32 47 56 30 59 41 48 54 58 52 39
9 27 15 23 14 34 11 35 2 17 44 36 1 42 24 8 51 0 29 20 45 53 5 31 4 16 38 12 57 50 47 3 56 10 22 43 6 28 55 58 13 48 40 7 33 19 32 59 54 21 18 25 39 49 41 26 46 37 52 30
16 13 10 32 28 21 38 39 20 5 30 7 29 41 3 1 26 11 48 47 18 52 35 4 14 53 58 2 37 19 54 23 46 42 0 6 9 56 25 49 44 59 12 34 8 15 57 33 40 51 27 17 55 22 50 36 31 24 43 45
21 10 13 28 32 16 39 38 30 7 20 5 41 29 3 18 11 26 47 48 1 35 52 4 37 58 53 19 14 2 42 46 23 54 6 0 25 56 9 34 59 44 8 49 12 33 57 15 27 55 40 22 51 17 45 43 24 31 36 50
